employee_id,department,role,base_salary,hire_date,is_overtime_eligible,max_weekly_ot_hours
EMP0001,Operations,Operations Analyst,66114.42,2020-02-21,True,20
EMP0002,Operations,Operations Lead,118092.59,2021-05-16,True,20
EMP0003,Sales,Senior Sales,74652.46,2020-07-28,True,20
EMP0004,Operations,Operations Manager,114671.1,2023-01-21,True,0
EMP0005,Engineering,Engineering Manager,133208.4,2020-03-06,True,0
EMP0006,Engineering,Junior Dev,52223.44,2021-03-23,True,20
EMP0007,Sales,Sales Rep,58309.92,2023-02-23,True,20
EMP0008,Sales,Regional Director,140782.14,2021-03-27,True,20
EMP0009,Finance,Finance Manager,117176.46,2020-01-14,True,0
EMP0010,Sales,Regional Director,154728.25,2021-11-27,True,20
EMP0011,Marketing,Marketing Coord,49621.09,2021-03-16,True,20
EMP0012,Marketing,Marketing Coord,45597.2,2020-07-08,True,20
EMP0013,Finance,Analyst,64576.9,2022-01-05,True,20
EMP0014,Marketing,Marketing Manager,112665.13,2021-06-25,True,0
EMP0015,Engineering,Engineering Manager,124049.59,2023-01-03,True,0
EMP0016,Engineering,Engineering Manager,125696.17,2020-06-10,True,0
EMP0017,HR,HR Specialist,64746.19,2023-07-11,True,20
EMP0018,HR,HR Specialist,81679.99,2023-03-28,True,20
EMP0019,Sales,Sales Rep,49874.88,2020-04-03,True,20
EMP0020,Operations,Operations Analyst,65901.23,2021-08-15,True,20
EMP0021,Engineering,Senior Dev,76046.98,2020-07-25,True,20
EMP0022,Finance,Finance Manager,115976.19,2022-07-17,True,0
EMP0023,Operations,Operations Lead,104135.16,2020-11-29,True,20
EMP0024,Marketing,Marketing Specialist,63931.38,2021-03-05,True,20
EMP0025,Operations,Operations Lead,107706.14,2023-12-08,True,20
EMP0026,Operations,Operations Manager,151209.32,2020-05-26,True,0
EMP0027,HR,HR Manager,156171.02,2020-12-16,True,0
EMP0028,HR,HR Manager,142503.4,2021-05-16,True,0
EMP0029,Sales,Regional Director,136183.99,2022-02-16,True,20
EMP0030,Marketing,Marketing Manager,104213.0,2023-11-10,True,0
EMP0031,HR,HR Coord,46700.64,2023-11-03,True,20
EMP0032,Marketing,Marketing Coord,53819.1,2021-04-14,True,20
EMP0033,Engineering,Tech Lead,103048.68,2022-04-01,False,20
EMP0034,Marketing,Marketing Coord,46208.55,2021-03-08,True,20
EMP0035,HR,HR Manager,118429.33,2021-10-06,True,0
EMP0036,Sales,Regional Director,170853.49,2022-03-21,True,20
EMP0037,Operations,Operations Lead,99307.9,2020-10-19,True,20
EMP0038,Marketing,Marketing Coord,54567.08,2021-05-20,True,20
EMP0039,Operations,Operations Manager,131454.79,2023-01-08,True,0
EMP0040,Marketing,Marketing Manager,115183.48,2023-04-12,True,0
EMP0041,Finance,Controller,163575.86,2022-01-11,False,20
EMP0042,Sales,Senior Sales,78580.85,2022-11-09,True,20
EMP0043,Finance,Analyst,57546.37,2020-04-06,True,20
EMP0044,Engineering,Senior Dev,93613.39,2023-07-09,True,20
EMP0045,Sales,Regional Director,181046.32,2023-05-06,True,20
EMP0046,Engineering,Engineering Manager,112637.06,2022-02-20,True,0
EMP0047,HR,HR Specialist,73686.69,2022-12-19,True,20
EMP0048,Marketing,Marketing Manager,136183.3,2020-01-24,True,0
EMP0049,Operations,Operations Manager,124956.01,2020-08-22,True,0
EMP0050,Operations,Operations Manager,101708.73,2021-06-30,True,0
EMP0051,Operations,Operations Lead,96463.45,2020-08-16,True,20
EMP0052,Marketing,Marketing Specialist,63899.56,2020-11-19,True,20
EMP0053,Finance,Analyst,69323.83,2024-01-18,True,20
EMP0054,Operations,Operations Lead,110959.36,2022-10-22,True,20
EMP0055,Sales,Sales Rep,48664.75,2023-07-04,True,20
EMP0056,Marketing,Marketing Manager,112767.17,2022-11-05,True,0
EMP0057,HR,HR Coord,59288.94,2020-11-09,True,20
EMP0058,Marketing,Marketing Coord,55594.2,2023-01-09,True,20
EMP0059,HR,HR Coord,52700.03,2023-05-11,True,20
EMP0060,Marketing,Marketing Specialist,76239.2,2020-02-09,True,20
EMP0061,Engineering,Tech Lead,129740.95,2021-09-21,False,20
EMP0062,Sales,Sales Rep,50118.22,2021-05-08,True,20
EMP0063,HR,HR Coord,44870.24,2020-06-24,True,20
EMP0064,Operations,Operations Lead,128088.37,2020-05-21,True,20
EMP0065,HR,HR Coord,41824.46,2020-09-19,True,20
EMP0066,Operations,Operations Lead,104067.35,2023-01-30,True,20
EMP0067,Sales,Sales Manager,107384.56,2022-12-16,True,0
EMP0068,HR,HR Specialist,75588.18,2021-03-09,True,20
EMP0069,HR,HR Manager,129547.8,2023-11-13,True,0
EMP0070,Sales,Sales Manager,131726.96,2022-03-28,True,0
EMP0071,Operations,Operations Manager,140908.26,2022-02-03,True,0
EMP0072,Finance,Controller,142894.19,2020-09-04,False,20
EMP0073,Sales,Senior Sales,77294.93,2020-05-11,True,20
EMP0074,Marketing,Marketing Coord,51203.13,2023-04-19,True,20
EMP0075,HR,HR Coord,41571.22,2023-04-20,True,20
EMP0076,Sales,Sales Rep,59587.28,2020-05-25,True,20
EMP0077,Operations,Operations Manager,110063.21,2020-04-30,True,0
EMP0078,Sales,Sales Rep,60778.9,2020-03-05,True,20
EMP0079,Marketing,Marketing Coord,54390.75,2022-11-18,True,20
EMP0080,Sales,Sales Manager,118064.99,2023-10-02,True,0
EMP0081,Finance,Senior Analyst,83948.65,2023-01-09,True,20
EMP0082,Sales,Regional Director,169120.57,2021-05-12,True,20
EMP0083,Finance,Controller,136988.67,2021-01-24,False,20
EMP0084,Engineering,Junior Dev,52052.43,2023-09-11,True,20
EMP0085,Finance,Finance Manager,107081.14,2022-05-17,True,0
EMP0086,Finance,Controller,147250.21,2024-02-02,False,20
EMP0087,Engineering,Junior Dev,56093.11,2020-05-04,True,20
EMP0088,Finance,Finance Manager,127253.22,2020-08-11,True,0
EMP0089,Sales,Senior Sales,89833.83,2021-01-24,True,20
EMP0090,HR,HR Specialist,74389.12,2020-10-14,True,20
EMP0091,Finance,Senior Analyst,79094.14,2021-07-24,True,20
EMP0092,Finance,Senior Analyst,104840.82,2020-06-03,True,20
EMP0093,Finance,Analyst,58729.03,2020-04-13,True,20
EMP0094,Operations,Operations Manager,139138.62,2020-01-31,True,0
EMP0095,Engineering,Senior Dev,84624.12,2020-12-06,True,20
EMP0096,Finance,Controller,140613.37,2022-09-12,False,20
EMP0097,Sales,Regional Director,185550.19,2020-04-30,True,20
EMP0098,Sales,Regional Director,150739.03,2020-01-05,True,20
EMP0099,Finance,Finance Manager,146644.96,2022-07-20,True,0
EMP0100,Marketing,Marketing Specialist,79347.68,2023-11-27,True,20
EMP0101,Operations,Operations Manager,126344.05,2023-09-17,True,0
EMP0102,Operations,Operations Lead,107871.02,2020-11-13,True,20
EMP0103,Sales,Sales Manager,124326.05,2021-03-21,True,0
EMP0104,Engineering,Junior Dev,50102.79,2021-10-04,True,20
EMP0105,Engineering,Junior Dev,45575.65,2023-04-11,True,20
EMP0106,Finance,Senior Analyst,89632.12,2020-04-26,True,20
EMP0107,HR,HR Coord,50537.91,2021-01-15,True,20
EMP0108,Engineering,Junior Dev,60206.26,2023-10-14,True,20
EMP0109,Sales,Regional Director,158314.07,2020-09-02,True,20
EMP0110,HR,HR Coord,55391.36,2023-03-31,True,20
EMP0111,HR,HR Coord,52377.48,2023-06-22,True,20
EMP0112,Engineering,Engineering Manager,106600.55,2023-09-08,True,0
EMP0113,HR,HR Manager,112464.32,2022-12-06,True,0
EMP0114,Marketing,Marketing Specialist,76691.28,2021-02-22,True,20
EMP0115,Operations,Operations Manager,143801.07,2021-10-05,True,0
EMP0116,Sales,Sales Manager,137315.36,2022-03-21,True,0
EMP0117,Sales,Sales Manager,128085.06,2022-07-25,True,0
EMP0118,Marketing,Marketing Coord,46230.1,2020-01-20,True,20
EMP0119,Finance,Analyst,55697.59,2020-05-30,True,20
EMP0120,HR,HR Coord,50263.17,2022-11-02,True,20
EMP0121,Marketing,Marketing Coord,62222.91,2021-12-15,True,20
EMP0122,Engineering,Senior Dev,95447.61,2022-01-26,True,20
EMP0123,Marketing,Marketing Coord,46266.63,2022-06-16,True,20
EMP0124,HR,HR Manager,134696.47,2021-09-11,True,0
EMP0125,HR,HR Manager,154483.44,2022-12-19,True,0
EMP0126,Engineering,Tech Lead,101717.18,2023-09-20,False,20
EMP0127,Engineering,Senior Dev,93365.84,2021-06-25,True,20
EMP0128,Engineering,Junior Dev,50752.45,2023-02-07,True,20
EMP0129,Sales,Sales Manager,147266.66,2021-07-31,True,0
EMP0130,HR,HR Coord,48848.71,2024-01-09,True,20
EMP0131,Marketing,Marketing Coord,56608.87,2023-11-08,True,20
EMP0132,Operations,Operations Lead,98331.39,2022-11-01,True,20
EMP0133,Finance,Finance Manager,146037.89,2020-04-14,True,0
EMP0134,Engineering,Engineering Manager,137182.32,2021-07-20,True,0
EMP0135,Engineering,Junior Dev,53278.18,2021-11-14,True,20
EMP0136,Sales,Sales Manager,145569.49,2020-11-26,True,0
EMP0137,Operations,Operations Lead,133028.48,2023-02-03,True,20
EMP0138,Operations,Operations Lead,109740.45,2023-02-22,True,20
EMP0139,Engineering,Junior Dev,64805.73,2020-06-03,True,20
EMP0140,Operations,Operations Analyst,70143.39,2023-01-22,True,20
EMP0141,Engineering,Tech Lead,119588.37,2023-04-07,False,20
EMP0142,HR,HR Coord,45903.98,2022-05-30,True,20
EMP0143,Sales,Sales Rep,53792.08,2021-09-23,True,20
