transaction_id,employee_id,department,role,transaction_date,base_amount,overtime_hours,overtime_amount,total_amount,approver_id,processed_timestamp
TXN00000001,EMP0001,Operations,Operations Analyst,2022-01-01,5509.53,7.0,333.05,5842.59,MGR019,2022-01-01 17:00:00
TXN00000002,EMP0002,Operations,Operations Lead,2022-01-01,9841.05,5.3,447.45,10288.49,MGR019,2022-01-01 13:00:00
TXN00000003,EMP0003,Sales,Senior Sales,2022-01-01,6221.04,6.8,364.81,6585.85,MGR009,2022-01-01 15:00:00
TXN00000004,EMP0004,Operations,Operations Manager,2022-01-01,9555.93,0.0,0.0,9555.93,MGR019,2022-01-01 17:00:00
TXN00000005,EMP0005,Engineering,Engineering Manager,2022-01-01,11100.7,0.0,0.0,11100.7,MGR013,2022-01-01 16:00:00
TXN00000006,EMP0006,Engineering,Junior Dev,2022-01-01,4351.95,1.2,43.46,4395.41,MGR013,2022-01-01 14:00:00
TXN00000007,EMP0007,Sales,Sales Rep,2022-01-01,4859.16,0.0,0.0,9718.32,MGR009,2022-01-01 16:00:00
TXN00000008,EMP0008,Sales,Regional Director,2022-01-01,11731.85,0.0,0.0,11731.85,MGR009,2022-01-01 15:00:00
TXN00000009,EMP0009,Finance,Finance Manager,2022-01-01,9764.7,0.0,0.0,9764.7,MGR017,2022-01-01 10:00:00
TXN00000010,EMP0010,Sales,Regional Director,2022-01-01,12894.02,1.0,116.17,13010.19,MGR009,2022-01-01 15:00:00
TXN00000011,EMP0011,Marketing,Marketing Coord,2022-01-01,4135.09,3.3,119.84,4254.93,MGR019,2022-01-01 15:00:00
TXN00000012,EMP0012,Marketing,Marketing Coord,2022-01-01,3799.77,0.0,0.0,3799.77,MGR019,2022-01-01 12:00:00
TXN00000013,EMP0013,Finance,Analyst,2022-01-01,5381.41,0.0,0.0,5381.41,MGR017,2022-01-01 11:00:00
TXN00000014,EMP0014,Marketing,Marketing Manager,2022-01-01,9388.76,0.0,0.0,9388.76,MGR019,2022-01-01 12:00:00
TXN00000015,EMP0015,Engineering,Engineering Manager,2022-01-01,10337.47,0.0,0.0,10337.47,MGR013,2022-01-01 16:00:00
TXN00000016,EMP0016,Engineering,Engineering Manager,2022-01-01,10474.68,0.0,0.0,10474.68,MGR013,2022-01-01 15:00:00
TXN00000017,EMP0017,HR,HR Specialist,2022-01-01,5395.52,6.6,306.29,5701.81,MGR014,2022-01-01 11:00:00
TXN00000018,EMP0018,HR,HR Specialist,2022-01-01,6806.67,0.4,22.0,6828.67,MGR014,2022-01-01 12:00:00
TXN00000019,EMP0019,Sales,Sales Rep,2022-01-01,4156.24,4.3,154.67,4310.91,MGR009,2022-01-01 15:00:00
TXN00000020,EMP0020,Operations,Operations Analyst,2022-01-01,5491.77,0.3,15.2,5506.97,MGR019,2022-01-01 09:00:00
TXN00000021,EMP0021,Engineering,Senior Dev,2022-01-01,6337.25,3.6,198.62,6535.86,MGR013,2022-01-01 12:00:00
TXN00000022,EMP0022,Finance,Finance Manager,2022-01-01,9664.68,0.0,0.0,9664.68,MGR017,2022-01-01 11:00:00
TXN00000023,EMP0023,Operations,Operations Lead,2022-01-01,8677.93,0.0,0.0,8677.93,MGR019,2022-01-01 12:00:00
TXN00000024,EMP0024,Marketing,Marketing Specialist,2022-01-01,5327.61,0.3,12.26,5339.88,MGR019,2022-01-01 13:00:00
TXN00000025,EMP0025,Operations,Operations Lead,2022-01-01,8975.51,0.0,0.0,8975.51,MGR019,2022-01-01 13:00:00
TXN00000026,EMP0026,Operations,Operations Manager,2022-01-01,12600.78,0.0,0.0,12600.78,MGR019,2022-01-01 16:00:00
TXN00000027,EMP0027,HR,HR Manager,2022-01-01,13014.25,0.0,0.0,13014.25,MGR014,2022-01-01 09:00:00
TXN00000028,EMP0028,HR,HR Manager,2022-01-01,11875.28,0.0,0.0,11875.28,MGR014,2022-01-01 10:00:00
TXN00000029,EMP0029,Sales,Regional Director,2022-01-01,11348.67,0.0,0.0,11348.67,MGR009,2022-01-01 10:00:00
TXN00000030,EMP0030,Marketing,Marketing Manager,2022-01-01,8684.42,0.0,0.0,8684.42,MGR019,2022-01-01 11:00:00
TXN00000031,EMP0031,HR,HR Coord,2022-01-01,3891.72,0.3,8.81,3900.53,MGR014,2022-01-01 14:00:00
TXN00000032,EMP0032,Marketing,Marketing Coord,2022-01-01,4484.93,0.0,0.0,4484.93,MGR019,2022-01-01 10:00:00
TXN00000033,EMP0033,Engineering,Tech Lead,2022-01-01,9459.479810145094,0.0,0.0,9459.479810145094,MGR013,2022-01-01 11:00:00
TXN00000034,EMP0034,Marketing,Marketing Coord,2022-01-01,3850.71,1.7,55.19,3905.9,MGR019,2022-01-01 09:00:00
TXN00000035,EMP0035,HR,HR Manager,2022-01-01,9869.11,0.0,0.0,9869.11,MGR014,2022-01-01 14:00:00
TXN00000036,EMP0036,Sales,Regional Director,2022-01-01,14237.79,2.0,250.8,14488.59,MGR009,2022-01-01 14:00:00
TXN00000037,EMP0037,Operations,Operations Lead,2022-01-01,8275.66,1.9,135.86,8411.52,MGR019,2022-01-01 13:00:00
TXN00000038,EMP0038,Marketing,Marketing Coord,2022-01-01,4547.26,0.4,14.93,4562.19,MGR019,2022-01-01 16:00:00
TXN00000039,EMP0039,Operations,Operations Manager,2022-01-01,10954.57,0.0,0.0,10954.57,MGR019,2022-01-01 15:00:00
TXN00000040,EMP0040,Marketing,Marketing Manager,2022-01-01,9598.62,0.0,0.0,9598.62,MGR019,2022-01-01 14:00:00
TXN00000041,EMP0041,Finance,Controller,2022-01-01,13631.32,0.0,0.0,13631.32,MGR017,2022-01-01 08:00:00
TXN00000042,EMP0042,Sales,Senior Sales,2022-01-01,6548.4,9.8,556.72,7105.13,MGR009,2022-01-01 11:00:00
TXN00000043,EMP0043,Finance,Analyst,2022-01-01,4795.53,1.0,41.89,4837.42,MGR017,2022-01-01 14:00:00
TXN00000044,EMP0044,Engineering,Senior Dev,2022-01-01,7801.12,0.0,0.0,7801.12,MGR013,2022-01-01 14:00:00
TXN00000045,EMP0045,Sales,Regional Director,2022-01-01,15087.19,9.9,1293.69,16380.88,MGR009,2022-01-01 17:00:00
TXN00000046,EMP0046,Engineering,Engineering Manager,2022-01-01,9386.42,0.0,0.0,9386.42,MGR013,2022-01-01 08:00:00
TXN00000047,EMP0047,HR,HR Specialist,2022-01-01,6140.56,6.7,353.55,6494.1,MGR014,2022-01-01 17:00:00
TXN00000048,EMP0048,Marketing,Marketing Manager,2022-01-01,11348.61,38.442626510588205,3775.416712306671,15124.026712306671,MGR019,2022-01-01 14:00:00
TXN00000049,EMP0049,Operations,Operations Manager,2022-01-01,10413.0,0.0,0.0,10413.0,MGR019,2022-01-01 15:00:00
TXN00000050,EMP0050,Operations,Operations Manager,2022-01-01,8475.73,0.0,0.0,8475.73,MGR019,2022-01-01 08:00:00
TXN00000051,EMP0051,Operations,Operations Lead,2022-01-01,8038.62,3.0,207.16,8245.78,MGR019,2022-01-01 13:00:00
TXN00000052,EMP0052,Marketing,Marketing Specialist,2022-01-01,5324.96,1.8,83.79,5408.76,MGR019,2022-01-01 12:00:00
TXN00000053,EMP0053,Finance,Analyst,2022-01-01,5776.99,2.6,131.66,5908.64,MGR017,2022-01-01 14:00:00
TXN00000054,EMP0054,Operations,Operations Lead,2022-01-01,9246.61,0.0,0.0,9246.61,MGR019,2022-01-01 14:00:00
TXN00000055,EMP0055,Sales,Sales Rep,2022-01-01,4055.4,1.0,34.73,4090.12,MGR009,2022-01-01 16:00:00
TXN00000056,EMP0056,Marketing,Marketing Manager,2022-01-01,9397.26,0.0,0.0,9397.26,MGR019,2022-01-01 16:00:00
TXN00000057,EMP0057,HR,HR Coord,2022-01-01,4940.74,0.0,0.0,4940.74,MGR014,2022-01-01 17:00:00
TXN00000058,EMP0058,Marketing,Marketing Coord,2022-01-01,4632.85,2.9,116.42,4749.27,MGR019,2022-01-01 11:00:00
TXN00000059,EMP0059,HR,HR Coord,2022-01-01,4391.67,0.6,23.76,4415.43,MGR014,2022-01-01 15:00:00
TXN00000060,EMP0060,Marketing,Marketing Specialist,2022-01-01,6353.27,1.3,71.91,6425.17,MGR019,2022-01-01 11:00:00
TXN00000061,EMP0061,Engineering,Tech Lead,2022-01-01,10811.75,64.80010998467552,6062.90702128975,16874.65702128975,MGR013,2022-01-01 12:00:00
TXN00000062,EMP0062,Sales,Sales Rep,2022-01-01,4176.52,0.2,8.77,4185.29,MGR009,2022-01-01 14:00:00
TXN00000063,EMP0063,HR,HR Coord,2022-01-01,3739.19,0.0,0.0,3739.19,MGR014,2022-01-01 15:00:00
TXN00000064,EMP0064,Operations,Operations Lead,2022-01-01,10674.03,0.0,0.0,10674.03,MGR019,2022-01-01 08:00:00
TXN00000065,EMP0065,HR,HR Coord,2022-01-01,3485.37,2.3,69.5,3554.87,MGR014,2022-01-01 14:00:00
